WorkOrder_ID,Equipment_Tag,Functional_Location,Order_Type,Priority,Description,Reported_Date,Completed_Date,Labor_Hours,Cost_INR,ISO14224_Failure_Mode,Technician_ID,Approval_Status
WO-880001,K-203,MRPL-HZ-CDU-K203,PM01,LOW,Annual transmitter calibration and span adjustment on K-203,2026-07-27,2026-08-09,40.7,115949,CAL,TECH-102,APPROVED_AND_CLOSED
WO-880002,HX-918,MRPL-HZ-CDU-HX918,PM03,HIGH,Coupling laser alignment and balancing on HX-918,2024-04-19,2024-05-02,25.1,385128,VIB,TECH-106,APPROVED_AND_CLOSED
WO-880003,Reactor-B,MRPL-HZ-CDU-ReactorB,PM03,VERY_HIGH,Mechanical seal Plan 53B cartridge replacement on Reactor-B,2025-10-31,2025-11-07,69.6,23316,ELU,TECH-116,APPROVED_AND_CLOSED
WO-880004,PT-101,MRPL-HZ-CDU-PT101,PM01,MEDIUM,Routine inspection and preventive overhaul for PT-101,2024-08-03,2024-08-16,35.2,276861,COR,TECH-109,APPROVED_AND_CLOSED
WO-880005,TT-204,MRPL-HZ-CDU-TT204,PM01,HIGH,Routine inspection and preventive overhaul for TT-204,2024-06-20,2024-06-22,61.0,198161,FTC,TECH-113,APPROVED_AND_CLOSED
WO-880006,P-101B,MRPL-HZ-CDU-P101B,PM03,VERY_HIGH,Routine inspection and preventive overhaul for P-101B,2024-01-30,2024-02-06,29.8,188695,FTC,TECH-116,APPROVED_AND_CLOSED
WO-880007,T-401,MRPL-HZ-CDU-T401,PM01,HIGH,Routine inspection and preventive overhaul for T-401,2025-02-17,2025-02-26,25.5,222881,COR,TECH-120,APPROVED_AND_CLOSED
WO-880008,HX-918,MRPL-HZ-CDU-HX918,PM02,HIGH,High bearing temperature remediation on HX-918; lube flush,2025-08-10,2025-08-20,25.4,17473,OHG,TECH-107,APPROVED_AND_CLOSED
WO-880009,Reactor-B,MRPL-HZ-CDU-ReactorB,PM02,HIGH,Routine inspection and preventive overhaul for Reactor-B,2026-04-16,2026-04-20,18.0,162377,FTC,TECH-109,APPROVED_AND_CLOSED
WO-880010,PT-101,MRPL-HZ-CDU-PT101,PM02,HIGH,High bearing temperature remediation on PT-101; lube flush,2026-02-03,2026-02-17,64.8,388492,OHG,TECH-106,APPROVED_AND_CLOSED
WO-880011,P-101A,MRPL-HZ-CDU-P101A,PM01,MEDIUM,Annual transmitter calibration and span adjustment on P-101A,2026-03-13,2026-03-27,37.2,224980,CAL,TECH-102,APPROVED_AND_CLOSED
WO-880012,T-401,MRPL-HZ-CDU-T401,PM01,LOW,Routine inspection and preventive overhaul for T-401,2025-07-27,2025-07-29,40.6,334288,INS,TECH-111,APPROVED_AND_CLOSED
WO-880013,PT-101,MRPL-HZ-CDU-PT101,PM03,VERY_HIGH,Routine inspection and preventive overhaul for PT-101,2025-11-11,2025-11-25,31.3,67404,COR,TECH-123,APPROVED_AND_CLOSED
WO-880014,T-401,MRPL-HZ-CDU-T401,PM03,LOW,Routine inspection and preventive overhaul for T-401,2025-09-18,2025-09-28,70.7,371138,INS,TECH-123,APPROVED_AND_CLOSED
WO-880015,K-203,MRPL-HZ-CDU-K203,PM02,MEDIUM,Mechanical seal Plan 53B cartridge replacement on K-203,2025-08-19,2025-09-01,56.7,220264,ELU,TECH-101,APPROVED_AND_CLOSED
WO-880016,P-101A,MRPL-HZ-CDU-P101A,PM01,HIGH,Routine inspection and preventive overhaul for P-101A,2025-06-17,2025-07-01,28.6,454848,FTC,TECH-106,APPROVED_AND_CLOSED
WO-880017,Reactor-B,MRPL-HZ-CDU-ReactorB,PM01,VERY_HIGH,Coupling laser alignment and balancing on Reactor-B,2024-06-13,2024-06-22,50.1,161658,VIB,TECH-111,APPROVED_AND_CLOSED
WO-880018,Reactor-B,MRPL-HZ-CDU-ReactorB,PM03,LOW,Mechanical seal Plan 53B cartridge replacement on Reactor-B,2024-06-26,2024-07-06,35.8,332879,ELU,TECH-117,APPROVED_AND_CLOSED
WO-880019,T-401,MRPL-HZ-CDU-T401,PM03,LOW,Mechanical seal Plan 53B cartridge replacement on T-401,2026-04-13,2026-04-17,21.9,439909,ELU,TECH-118,APPROVED_AND_CLOSED
WO-880020,PT-101,MRPL-HZ-CDU-PT101,PM03,HIGH,Mechanical seal Plan 53B cartridge replacement on PT-101,2024-10-25,2024-11-07,23.2,34952,ELU,TECH-124,APPROVED_AND_CLOSED
WO-880021,TT-204,MRPL-HZ-CDU-TT204,PM01,VERY_HIGH,Routine inspection and preventive overhaul for TT-204,2026-03-03,2026-03-13,42.8,346897,FTC,TECH-104,APPROVED_AND_CLOSED
WO-880022,SV-402,MRPL-HZ-CDU-SV402,PM01,MEDIUM,Coupling laser alignment and balancing on SV-402,2024-10-02,2024-10-10,16.6,66214,VIB,TECH-107,APPROVED_AND_CLOSED
WO-880023,HX-918,MRPL-HZ-CDU-HX918,PM02,LOW,Routine inspection and preventive overhaul for HX-918,2024-10-30,2024-11-03,30.8,33635,FTC,TECH-124,APPROVED_AND_CLOSED
WO-880024,P-101B,MRPL-HZ-CDU-P101B,PM03,LOW,Routine inspection and preventive overhaul for P-101B,2026-06-26,2026-06-30,37.6,66282,FTC,TECH-106,APPROVED_AND_CLOSED
WO-880025,T-401,MRPL-HZ-CDU-T401,PM02,LOW,Routine inspection and preventive overhaul for T-401,2024-11-29,2024-12-13,51.5,189210,COR,TECH-121,APPROVED_AND_CLOSED
WO-880026,Reactor-B,MRPL-HZ-CDU-ReactorB,PM02,VERY_HIGH,High bearing temperature remediation on Reactor-B; lube flush,2024-11-25,2024-11-30,10.0,96994,OHG,TECH-124,APPROVED_AND_CLOSED
WO-880027,Reactor-B,MRPL-HZ-CDU-ReactorB,PM03,HIGH,Mechanical seal Plan 53B cartridge replacement on Reactor-B,2024-07-05,2024-07-15,69.7,229013,ELU,TECH-109,APPROVED_AND_CLOSED
WO-880028,SV-402,MRPL-HZ-CDU-SV402,PM02,MEDIUM,Mechanical seal Plan 53B cartridge replacement on SV-402,2025-05-30,2025-06-08,18.9,8613,ELU,TECH-112,APPROVED_AND_CLOSED
WO-880029,P-101A,MRPL-HZ-CDU-P101A,PM03,LOW,High bearing temperature remediation on P-101A; lube flush,2025-12-24,2025-12-28,55.4,189257,OHG,TECH-114,APPROVED_AND_CLOSED
WO-880030,PT-101,MRPL-HZ-CDU-PT101,PM01,MEDIUM,Routine inspection and preventive overhaul for PT-101,2024-02-11,2024-02-16,37.3,172327,INS,TECH-123,APPROVED_AND_CLOSED
WO-880031,SV-402,MRPL-HZ-CDU-SV402,PM01,VERY_HIGH,Coupling laser alignment and balancing on SV-402,2026-01-18,2026-01-24,65.9,164487,VIB,TECH-120,APPROVED_AND_CLOSED
